timestamp;eventTime;date;hour;service;requests;unique_events;cost
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;iam;436;20;0.00174400
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;lambda;66;4;0.00026400
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;logs;105;2;0.00042000
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;rds;18;1;0.00007200
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;s3;274;10;0.00109600
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;sns;20;1;0.00008000
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;sts;1174;2;0.00469600
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01;0;unknown;313;47;0.00125200
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;cloudtrail;22;2;0.00008800
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;ec2;2351;40;0.00940400
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;elb;33;1;0.00013200
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;iam;480;20;0.00192000
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;lambda;105;3;0.00042000
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;logs;63;2;0.00025200
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;rds;30;1;0.00012000
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;s3;342;14;0.00136800
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;sns;16;2;0.00006400
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;sts;2658;2;0.01063200
2018-02-01 00:00:00;2018-02-01 00:00:00;2018-02-01;0;unknown;320;49;0.00128000
2018-03-01 00:00:00;2018-03-01 00:00:00;2018-03-01;0;ec2;1033;19;0.00413200
2018-03-01 00:00:00;2018-03-01 00:00:00;2018-03-01;0;iam;140;16;0.00056000
2018-03-01 00:00:00;2018-03-01 00:00:00;2018-03-01;0;lambda;18;2;0.00007200
2018-03-01 00:00:00;2018-03-01 00:00:00;2018-03-01;0;logs;49;2;0.00019600
2018-03-01 00:00:00;2018-03-01 00:00:00;2018-03-01;0;s3;99;3;0.00039600
2018-03-01 00:00:00;2018-03-01 00:00:00;2018-03-01;0;sts;1001;3;0.00400400
2018-03-01 00:00:00;2018-03-01 00:00:00;2018-03-01;0;unknown;92;29;0.00036800
2018-04-01 00:00:00;2018-04-01 00:00:00;2018-04-01;0;cloudtrail;4;1;0.00001600
2018-04-01 00:00:00;2018-04-01 00:00:00;2018-04-01;0;ec2;17081;21;0.06832400
2018-04-01 00:00:00;2018-04-01 00:00:00;2018-04-01;0;iam;126;14;0.00050400
2018-04-01 00:00:00;2018-04-01 00:00:00;2018-04-01;0;lambda;12;1;0.00004800
2018-04-01 00:00:00;2018-04-01 00:00:00;2018-04-01;0;logs;47;1;0.00018800
2018-04-01 00:00:00;2018-04-01 00:00:00;2018-04-01;0;rds;1;1;0.00000400
2018-04-01 00:00:00;2018-04-01 00:00:00;2018-04-01;0;s3;104;2;0.00041600
2018-04-01 00:00:00;2018-04-01 00:00:00;2018-04-01;0;sts;1139;2;0.00455600
2018-04-01 00:00:00;2018-04-01 00:00:00;2018-04-01;0;unknown;95;20;0.00038000
2018-05-01 00:00:00;2018-05-01 00:00:00;2018-05-01;0;cloudtrail;5;2;0.00002000
2018-05-01 00:00:00;2018-05-01 00:00:00;2018-05-01;0;ec2;1016;34;0.00406400
2018-05-01 00:00:00;2018-05-01 00:00:00;2018-05-01;0;elb;8;1;0.00003200
2018-05-01 00:00:00;2018-05-01 00:00:00;2018-05-01;0;iam;168;15;0.00067200
2018-05-01 00:00:00;2018-05-01 00:00:00;2018-05-01;0;lambda;27;3;0.00010800
